Target,Assay,Conc,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
IMP-1,CPE_5_plex,10,0.0501808,0.0508398,0.0512791,0.0518795,0.0522955,0.0525178,0.0526117,0.0529638,0.0530619,0.0531182,0.0533524,0.0533678,0.0536393,0.0535351,0.0535671,0.0536719,0.0538821,0.0537811,0.0539969,0.0541379,0.0544224,0.0546567,0.0547047,0.0546011,0.0548302,0.0549233,0.0553821,0.0554168,0.0553636,0.0557319,0.0558136,0.0560377,0.0560474,0.0560855,0.0565356,0.0566378,0.0568894,0.0567736,0.0573505,0.057393,0.0575774,0.0575916,0.057819,0.0578562,0.0579737
IMP-1,CPE_5_plex,10,0.0604545,0.0611113,0.0616782,0.0620761,0.0625729,0.0630957,0.0633036,0.0633506,0.0636024,0.0638344,0.0638364,0.0639391,0.064133,0.064305,0.0644545,0.0644127,0.0644458,0.0647552,0.0648606,0.0648087,0.0650826,0.0651136,0.0652324,0.0653219,0.0654681,0.0655842,0.0657812,0.0656867,0.0659698,0.0661852,0.0662002,0.0664021,0.0664411,0.066691,0.0668333,0.0669617,0.0672815,0.0671496,0.0673774,0.067717,0.0678904,0.0681393,0.0682626,0.0683699,0.0684066
IMP-1,CPE_5_plex,100,0.0531662,0.0540343,0.0545785,0.054939,0.0553079,0.0554414,0.0555777,0.0557303,0.0559797,0.0559721,0.0561925,0.0562567,0.056411,0.0565579,0.0568046,0.0566044,0.0568179,0.0571763,0.0570713,0.0571615,0.0573037,0.0572769,0.0575666,0.0577543,0.0578346,0.0579389,0.0581165,0.0586523,0.0594289,0.0608293,0.0633642,0.067466,0.0753872,0.0880782,0.107103,0.132092,0.160483,0.189807,0.218791,0.245714,0.270715,0.294326,0.314908,0.334024,0.350388
IMP-1,CPE_5_plex,100,0.0498085,0.0506913,0.0512038,0.0515043,0.0517998,0.0520207,0.052154,0.0523393,0.0524838,0.0525545,0.0527739,0.0527616,0.053039,0.0531479,0.0531516,0.0530435,0.0532233,0.0534048,0.053476,0.0536103,0.0536862,0.0537379,0.053721,0.0539027,0.0540208,0.0543751,0.0546851,0.0549913,0.0560044,0.0577209,0.0606446,0.0662082,0.0751317,0.0893977,0.110091,0.134735,0.16142,0.187882,0.213932,0.238129,0.260518,0.281042,0.29939,0.316081,0.330777
IMP-1,CPE_5_plex,1000,0.047807,0.0488379,0.0493596,0.049743,0.0500381,0.0502992,0.0503886,0.0504856,0.0505864,0.0505854,0.0509216,0.0509105,0.0508737,0.0510146,0.0511685,0.0514323,0.0513791,0.0514309,0.05157,0.051685,0.0518045,0.0519657,0.0521744,0.0525615,0.0528629,0.0536006,0.0546832,0.0561572,0.0594962,0.0650513,0.0738432,0.0885583,0.107866,0.130665,0.155214,0.179887,0.204147,0.22752,0.248889,0.268904,0.287608,0.304195,0.319381,0.33381,0.34621
IMP-1,CPE_5_plex,1000,0.0558272,0.0571931,0.0579463,0.0584621,0.0588772,0.0591264,0.0594428,0.059605,0.0598211,0.060036,0.0601304,0.0601029,0.0603305,0.0604089,0.0606945,0.0606433,0.0608458,0.0610575,0.0609906,0.0611009,0.0613923,0.0614494,0.061634,0.0621355,0.063021,0.0642369,0.0664264,0.0703243,0.0771297,0.0885221,0.106009,0.128994,0.155314,0.182757,0.209666,0.235835,0.259712,0.282081,0.301832,0.32031,0.336585,0.351662,0.36479,0.37707,0.387474
IMP-1,CPE_5_plex,10000,0.0449108,0.0462788,0.0466501,0.0471971,0.0472336,0.0477077,0.0477483,0.0478798,0.0481496,0.0481782,0.0484464,0.0482447,0.0484425,0.0486441,0.048684,0.0487661,0.0488186,0.0489826,0.0489722,0.0494963,0.0500775,0.0505758,0.0522582,0.0546466,0.0591502,0.0668486,0.0795821,0.0993264,0.125008,0.153447,0.183496,0.211895,0.23937,0.264476,0.287302,0.307884,0.326415,0.343202,0.35791,0.371281,0.382725,0.393338,0.402174,0.410394,0.41739
IMP-1,CPE_5_plex,10000,0.0458387,0.0471938,0.0476341,0.0479411,0.0483645,0.0484456,0.048646,0.048948,0.0491413,0.0491714,0.0494117,0.0493726,0.0494956,0.0496738,0.0497855,0.049953,0.050132,0.05035,0.0504009,0.0506485,0.0515176,0.0523099,0.0542311,0.0573001,0.063089,0.0726741,0.0878071,0.109004,0.134402,0.161241,0.188093,0.214499,0.239204,0.261733,0.282613,0.301643,0.318793,0.334297,0.348341,0.360789,0.372059,0.382196,0.391322,0.399449,0.406641
IMP-1,CPE_5_plex,100000,0.0437625,0.0449534,0.0454719,0.0460162,0.0460861,0.0463682,0.046549,0.0466139,0.0469215,0.0469785,0.0469589,0.0471476,0.04733,0.0473474,0.0476115,0.047968,0.0482516,0.0486723,0.0496689,0.0509498,0.0539951,0.0592756,0.0684323,0.0831393,0.104214,0.131032,0.159485,0.188552,0.216321,0.243008,0.267059,0.288886,0.308666,0.325964,0.342264,0.356574,0.369075,0.380521,0.390521,0.39947,0.407382,0.414018,0.420509,0.425266,0.429893
IMP-1,CPE_5_plex,100000,0.0460304,0.0473479,0.0478308,0.0483554,0.048724,0.0490103,0.0490712,0.0494182,0.049551,0.0498383,0.0498747,0.0500717,0.0501056,0.0502829,0.0505545,0.0510255,0.0512191,0.0520068,0.0528613,0.054696,0.0584112,0.0644793,0.0749918,0.0917844,0.114919,0.143132,0.173412,0.203455,0.232312,0.259318,0.284307,0.306424,0.326772,0.344652,0.361158,0.376041,0.38903,0.400685,0.411561,0.420393,0.428596,0.435584,0.442347,0.448007,0.453067
